freq,unit,deg_urb,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AVG,DEG2,UK	: 	: 	2.0 u	2.0 	2.0 	1.9 	1.9 	1.9 	1.9 	2.0 b	2.0 	2.0 	2.1 	2.0 	2.2 b	2.1 	: 	: 	: 	: 	: 
A,AVG,DEG3,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	0.8 	0.9 	0.9 	0.9 	: 	: 
A,AVG,DEG3,AT	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 b	1.7 	1.8 	1.8 	1.7 b	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 	1.8 	1.8 
A,AVG,DEG3,BE	1.8 	2.4 	2.6 	2.4 	2.5 	2.6 	2.7 	2.4 	2.3 	2.2 b	2.2 	2.2 	2.3 	2.3 b	2.3 	2.2 	2.2 b	2.3 	2.3 	2.3 	2.3 
A,AVG,DEG3,BG	: 	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 b	1.3 	1.3 	1.3 	1.3 b	1.4 	1.4 	1.4 	1.5 	1.5 	1.5 	1.5 
A,AVG,DEG3,CH	: 	: 	: 	: 	1.6 	1.7 	1.7 	1.8 	1.8 	2.0 b	1.9 	2.0 b	2.0 	1.9 	2.0 	2.0 	2.0 	1.9 	1.9 	2.0 	2.0 
A,AVG,DEG3,CY	: 	: 	1.7 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.9 b	1.9 	1.9 	1.8 	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 
A,AVG,DEG3,CZ	: 	: 	1.2 	1.2 	1.2 	1.3 	1.3 	1.4 	1.4 	1.4 b	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 
A,AVG,DEG3,DE	: 	: 	1.6 	1.6 	1.7 	1.7 	1.7 	1.8 	1.8 	1.8 b	1.8 	1.9 	1.9 	1.8 	1.9 	1.9 	1.9 	1.9 b	1.9 	1.9 	1.9 
A,AVG,DEG3,DK	2.0 	2.1 	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	1.9 	2.0 b	2.1 	2.0 	2.1 	2.1 	2.1 	2.2 	2.2 	2.2 	2.2 	2.2 	2.1 
A,AVG,DEG3,EA	: 	: 	: 	: 	: 	: 	: 	: 	1.8 e	1.9 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 	1.9 	: 	: 
A,AVG,DEG3,EA18	: 	: 	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.8 e	1.9 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 	: 	: 	: 
A,AVG,DEG3,EA19	: 	: 	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 e	1.8 	1.9 	: 	: 
A,AVG,DEG3,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 e	1.7 	1.7 	1.7 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 
A,AVG,DEG3,EE	: 	1.2 	1.2 	1.2 	1.2 	1.3 	1.3 	1.3 	1.7 	1.7 b	1.6 	1.7 b	1.8 	1.8 	1.8 	1.8 	1.9 	1.9 	1.8 	1.8 	1.7 
A,AVG,DEG3,EL	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 b	1.2 	1.3 	1.2 	1.3 	1.3 	1.3 	1.2 	1.2 	1.3 	1.3 	1.4 
A,AVG,DEG3,ES	: 	1.6 	1.8 	2.0 	2.0 	2.0 	2.0 b	2.0 	2.0 	2.0 b	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	2.0 	2.1 	2.3 	2.3 	2.3 
A,AVG,DEG3,EU	: 	: 	: 	: 	: 	: 	: 	: 	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	: 	: 	: 	: 
A,AVG,DEG3,EU27_2007	: 	: 	: 	: 	1.6 e	1.6 e	1.6 e	1.6 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.8 e	1.8 e	: 	: 	: 	: 
A,AVG,DEG3,EU27_2020	: 	: 	: 	: 	: 	: 	: 	1.6 e	1.7 e	1.7 e	1.7 e	1.6 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 	1.8 	1.8 	1.8 
A,AVG,DEG3,EU28	: 	: 	: 	: 	: 	: 	: 	1.6 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	: 	: 	: 	: 
A,AVG,DEG3,FI	: 	1.8 	1.8 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 b	2.0 	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	2.1 	2.1 	2.2 	2.2 
A,AVG,DEG3,FR	: 	1.8 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 b	1.9 	1.9 	1.9 	1.9 	2.0 	2.0 	2.0 	2.0 b	2.0 	2.0 b	2.0 
A,AVG,DEG3,HR	: 	: 	: 	: 	: 	: 	: 	1.1 	1.1 	1.1 b	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 	1.3 
A,AVG,DEG3,HU	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.1 	1.1 b	1.1 	1.1 	1.2 	1.2 	1.2 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 
A,AVG,DEG3,IE	2.1 	2.1 	2.0 	2.0 	2.1 	2.1 	2.2 	2.2 	2.2 	2.2 b	2.1 	2.1 	2.2 	2.2 	2.3 	2.3 	2.2 b	2.2 b	2.2 	2.1 	2.1 
A,AVG,DEG3,IS	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.6 	1.6 b	1.6 	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	: 	: 	: 	: 
A,AVG,DEG3,IT	: 	1.4 	1.4 	1.4 	1.4 	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 	1.5 	1.5 b	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.5 	1.5 
A,AVG,DEG3,LT	: 	: 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.6 	1.7 b	1.6 	1.6 	1.5 	1.6 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 
A,AVG,DEG3,LU	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	2.0 	2.0 	2.1 	2.1 b	2.1 	2.1 	2.2 	2.0 b	2.0 	2.1 	2.2 	2.2 b	2.2 b	2.4 b	2.3 
A,AVG,DEG3,LV	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.2 	1.2 b	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 
A,AVG,DEG3,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	1.0 	1.1 	1.1 	1.0 	1.1 	: 	: 	: 
A,AVG,DEG3,MT	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	1.9 u	1.8 u	1.7 u	: u	: u	: u	: u	2.2 	2.2 	2.2 
A,AVG,DEG3,NL	: 	: 	1.9 	1.9 	1.9 	2.0 	2.2 	2.3 	2.2 	2.1 b	2.0 	1.9 	1.9 	1.9 b	1.9 	2.0 	2.1 	2.0 	2.2 	2.2 	2.1 
A,AVG,DEG3,NO	: 	2.0 	2.0 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 b	2.1 	: 	2.2 	2.3 	2.2 	2.3 	2.2 	2.3 	2.3 b	2.3 	2.3 
A,AVG,DEG3,PL	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 b	1.0 	1.0 	1.0 	1.1 	1.1 	1.1 	1.1 	1.1 b	1.1 	1.1 	1.1 b
A,AVG,DEG3,PT	: 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.8 	1.8 b	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.8 	1.8 	1.8 	1.8 
A,AVG,DEG3,RO	: 	: 	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 b	1.0 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 
A,AVG,DEG3,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0 	1.0 	1.0 	0.9 	0.9 	1.0 	1.0 	1.0 	1.0 	1.0 	: 
A,AVG,DEG3,SE	: 	1.8 	1.8 	1.8 	1.8 	1.8 b	1.9 	1.8 	1.8 	1.8 b	1.9 	1.9 	2.0 	1.9 	1.9 	2.0 	2.0 	2.0 	2.1 	2.0 	2.0 
A,AVG,DEG3,SI	: 	: 	1.0 	1.0 	1.1 	1.1 	1.1 	1.2 	1.4 	1.4 b	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 
A,AVG,DEG3,SK	: 	: 	1.0 	1.0 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 b	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 	1.2 	1.2 
A,AVG,DEG3,UK	: 	: 	2.1 u	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.2 b	2.2 	2.2 	2.2 	2.4 	2.4 b	2.3 	: 	: 	: 	: 	: 
A,AVG,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	0.8 	0.8 	0.8 	0.9 	: 	: 
A,AVG,TOTAL,AT	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 b	1.7 	1.7 	1.6 	1.6 b	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 
A,AVG,TOTAL,BE	1.8 	2.1 	2.2 	2.2 	2.2 	2.2 	2.3 	2.1 	2.2 	2.3 b	2.2 	2.2 	2.2 	2.2 b	2.2 	2.1 	2.1 b	2.1 	2.1 	2.1 	2.1 
A,AVG,TOTAL,BG	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.1 	1.1 	1.1 b	1.1 	1.1 	1.2 	1.2 b	1.2 	1.2 	1.2 	1.3 	1.3 	1.3 	1.4 
A,AVG,TOTAL,CH	: 	: 	: 	: 	1.7 	1.7 	1.7 	1.8 	1.8 	1.8 b	1.8 	1.9 b	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 
A,AVG,TOTAL,CY	: 	: 	1.8 	1.9 	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 b	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 
A,AVG,TOTAL,CZ	: 	: 	1.2 	1.2 	1.2 	1.2 	1.3 	1.4 	1.4 	1.4 b	1.4 	1.4 	1.4 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 
A,AVG,TOTAL,DE	: 	: 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.8 	1.8 b	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 b	1.8 	1.7 	1.7 
A,AVG,TOTAL,DK	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 b	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 
A,AVG,TOTAL,EA	: 	: 	: 	: 	: 	: 	: 	: 	1.7 e	1.8 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.7 	1.7 	1.7 	: 	: 
A,AVG,TOTAL,EA18	: 	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	: 	: 	: 
A,AVG,TOTAL,EA19	: 	: 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	: 	: 
A,AVG,TOTAL,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 
A,AVG,TOTAL,EE	: 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 	1.6 	1.6 b	1.5 	1.6 b	1.6 	1.6 	1.7 	1.7 	1.7 	1.7 	1.6 	1.6 	1.6 
A,AVG,TOTAL,EL	1.1 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 b	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 	1.3 	1.3 	1.3 
A,AVG,TOTAL,ES	: 	1.5 	1.7 	1.8 	1.9 	1.9 	1.9 b	1.9 	1.9 	1.9 b	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	2.0 	2.0 	2.0 
A,AVG,TOTAL,EU	: 	: 	: 	: 	: 	: 	: 	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 e	: 	: 	: 	: 
A,AVG,TOTAL,EU27_2007	: 	: 	: 	: 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 e	: 	: 	: 	: 
A,AVG,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	1.5 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 	1.7 	1.7 	1.7 
A,AVG,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 e	: 	: 	: 	: 
A,AVG,TOTAL,FI	: 	1.8 	1.8 	1.8 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 b	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	2.0 	2.0 	2.0 
A,AVG,TOTAL,FR	: 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.8 	1.8 	1.8 b	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.8 b	1.8 	1.8 b	1.8 
A,AVG,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	1.1 	1.1 	1.1 b	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 
A,AVG,TOTAL,HU	: 	: 	1.0 	1.0 	1.0 	1.0 	1.1 	1.0 	1.1 	1.1 b	1.1 	1.2 	1.2 	1.2 	1.2 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 
A,AVG,TOTAL,IE	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	2.1 	2.1 b	2.1 	2.0 	2.1 	2.1 	2.1 	2.1 	2.0 b	2.1 b	2.0 	2.0 	2.0 
A,AVG,TOTAL,IS	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 b	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.5 	: 	: 	: 	: 
A,AVG,TOTAL,IT	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 b	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 
A,AVG,TOTAL,LT	: 	: 	1.0 	1.0 	1.0 	1.1 	1.1 	1.1 	1.6 	1.6 b	1.4 	1.4 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 
A,AVG,TOTAL,LU	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.9 	1.9 	2.0 b	2.0 	2.0 	2.0 	1.9 b	1.9 	2.0 	2.0 	2.0 b	2.0 b	2.2 b	2.2 
A,AVG,TOTAL,LV	: 	: 	0.9 	0.9 	1.0 	1.0 	1.0 	1.0 	1.2 	1.3 b	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 
A,AVG,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	0.9 	0.9 	: 	: 	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 
A,AVG,TOTAL,MT	: 	: 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 b	2.1 	2.1 	2.1 	2.2 	2.2 	2.2 	2.2 	2.3 	2.3 	2.3 	2.2 
A,AVG,TOTAL,NL	: 	: 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 b	2.0 	1.9 	1.9 	1.9 b	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	2.1 
A,AVG,TOTAL,NO	: 	1.9 	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 b	2.0 	: 	2.1 	2.1 	2.1 	2.0 	2.0 	2.1 	2.0 b	2.1 	2.1 
A,AVG,TOTAL,PL	: 	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 b	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 b	1.1 	1.1 	1.1 b
A,AVG,TOTAL,PT	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.5 	1.4 	1.6 	1.6 b	1.6 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 
A,AVG,TOTAL,RO	: 	: 	: 	: 	0.9 	1.0 	1.0 	1.0 	1.0 	1.0 b	1.0 	1.0 	1.0 	1.0 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 
A,AVG,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	1.0 	1.0 	0.9 	0.9 	1.0 	1.0 	1.0 	1.0 	1.0 	: 
A,AVG,TOTAL,SE	: 	1.7 	1.7 	1.8 	1.7 	1.7 b	1.8 	1.7 	1.7 	1.7 b	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 	1.8 	1.8 	1.8 
A,AVG,TOTAL,SI	: 	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.4 	1.4 b	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 
A,AVG,TOTAL,SK	: 	: 	1.0 	1.0 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 b	1.1 	1.1 	1.1 	1.1 	1.2 	1.1 	1.2 	1.2 	1.2 	1.1 	1.2 
A,AVG,TOTAL,UK	: 	: 	1.8 u	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 b	1.9 	1.9 	2.0 	1.9 	2.1 b	2.0 	: 	: 	: 	: 	: 
